origin_country,frequency,relative_frequency
US,2127389,0.9050816551754652
CA,44096,0.018760311662144213
MX,38659,0.01644718089048515
GB,10526,0.004478207559772541
DO,7437,0.003164015734564734
JP,7166,0.003048720822091016
DE,6976,0.002967886750614977
BS,6419,0.002730915288445748
CN,5962,0.0025364880744218024
FR,5201,0.002212726346036195
CO,4872,0.002072755769638212
JM,4096,0.0017426124040308122
KR,3919,0.0016673090848136605
NL,3350,0.0014252323128669973
CR,3315,0.0014103418260161481
BR,2958,0.001258458860137486
ES,2805,0.0011933661604752023
CU,2622,0.0011155101863693335
SV,2554,0.0010865800976305406
HK,2504,0.001065307973557899
IT,2379,0.0010121276633762945
PA,2282,0.0009708597426753695
HN,2240,0.0009529911584543505
IE,2120,0.0009019380606800102
AW,1794,0.000763243811726386
IS,1730,0.0007360154929134046
KY,1723,0.0007330373955432347
GT,1717,0.0007304847406545177
PE,1708,0.0007266557583214422
CH,1684,0.0007164451387665742
EC,1604,0.0006824097402503474
TC,1394,0.000593066819145252
AE,1353,0.0005756236774056857
SX,1336,0.0005683911552209876
AU,1326,0.0005641367304064592
TW,1259,0.0005356320841491193
HT,1205,0.0005126581901506662
CL,1139,0.0004845789863747791
BE,1091,0.000464157747265043
DK,1035,0.00044033296830368424
TT,1028,0.0004373548709335144
BZ,1015,0.00043182411867462756
NI,1005,0.0004275696938600992
PT,976,0.00041523186189796696
BM,944,0.0004016177024914763
TR,925,0.00039353429534387237
VE,903,0.00038417456075191
RU,827,0.00035184093216149455
IL,824,0.00035056460471713605
KN,813,0.00034588473742115487
AR,806,0.000342906640050985
SE,772,0.00032844159568158865
LC,716,0.00030461681672022987
AG,707,0.00030078783438715437
BB,704,0.0002995115069427959
LU,701,0.0002982351794984374
NO,683,0.0002905772148322863
QA,678,0.00028845000242502214
PH,608,0.0002586690287233237
NZ,527,0.00022420818772564405
IN,421,0.00017911128469164355
AT,400,0.000170176992581134
GY,397,0.0001689006651367755
PL,393,0.00016719889521096416
VG,378,0.00016081725798917164
GD,368,0.0001565628331746433
CW,356,0.00015145752339720928
SA,354,0.0001506066384343036
GP,340,0.0001446504436939639
FM,324,0.00013784336399071855
BQ,320,0.0001361415940649072
PF,258,0.00010976416021483143
MQ,249,0.00010593517788175592
FJ,232,9.870265569705773e-05
AI,220,9.359734591962371e-05
GR,218,9.274646095671804e-05
JO,210,8.934292110509535e-05
BL,209,8.891747862364253e-05
FI,193,8.211039892039716e-05
SR,192,8.168495643894432e-05
MH,190,8.083407147603865e-05
WS,186,7.913230155022731e-05
SN,185,7.870685906877448e-05
PW,168,7.147433688407629e-05
DM,159,6.764535455100076e-05
ET,153,6.509269966228376e-05
NG,150,6.381637221792525e-05
ZA,148,6.296548725501958e-05
AZ,148,6.296548725501958e-05
SG,143,6.083827484775541e-05
GH,134,5.7009292514679893e-05
MA,130,5.530752258886855e-05
VC,107,4.552234551545335e-05
KI,107,4.552234551545335e-05
CZ,83,3.531172596058531e-05
KW,79,3.360995603477397e-05
RO,78,3.318451355332113e-05
CV,75,3.1908186108962626e-05
UA,74,3.148274362750979e-05
EG,73,3.1057301146056955e-05
UY,72,3.063185866460412e-05
HU,70,2.9780973701698453e-05
BO,67,2.8504646257339947e-05
CK,67,2.8504646257339947e-05
VN,57,2.4250221442811597e-05
LV,49,2.0846681591188915e-05
RS,46,1.9570354146830413e-05
MY,42,1.786858422101907e-05
AO,40,1.70176992581134e-05
PK,34,1.4465044369396391e-05
TO,29,1.2337831962132216e-05
LK,20,8.5088496290567e-06
GL,18,7.65796466615103e-06
HR,17,7.2325221846981955e-06
KE,15,6.381637221792525e-06
UZ,15,6.381637221792525e-06
MT,14,5.9561947403396905e-06
TH,11,4.6798672959811855e-06
PY,10,4.25442481452835e-06
KH,9,3.828982333075515e-06
MD,6,2.55265488871701e-06
SK,6,2.55265488871701e-06
BH,5,2.127212407264175e-06
BG,5,2.127212407264175e-06
GF,5,2.127212407264175e-06
MO,5,2.127212407264175e-06
PG,4,1.70176992581134e-06
KZ,4,1.70176992581134e-06
GM,4,1.70176992581134e-06
LR,3,1.276327444358505e-06
LB,3,1.276327444358505e-06
CY,3,1.276327444358505e-06
EE,3,1.276327444358505e-06
GI,2,8.5088496290567e-07
ME,2,8.5088496290567e-07
VU,2,8.5088496290567e-07
ID,2,8.5088496290567e-07
SL,2,8.5088496290567e-07
GA,2,8.5088496290567e-07
LT,1,4.25442481452835e-07
BJ,1,4.25442481452835e-07
DZ,1,4.25442481452835e-07
SI,1,4.25442481452835e-07
NC,1,4.25442481452835e-07
BF,1,4.25442481452835e-07
BD,1,4.25442481452835e-07
TJ,1,4.25442481452835e-07
CF,1,4.25442481452835e-07
MF,1,4.25442481452835e-07
MK,1,4.25442481452835e-07
AM,1,4.25442481452835e-07
GE,1,4.25442481452835e-07
ML,1,4.25442481452835e-07
NE,1,4.25442481452835e-07
,0,0.0
