dest_country,frequency,relative_frequency
US,2124596,0.903892240662294
CA,43608,0.018552672051910725
MX,38133,0.01622337743889909
GB,10834,0.004609237961163107
JP,7433,0.0031623099284959735
DE,7315,0.003112107779758919
DO,7153,0.0030431861857300817
BS,6252,0.0026598629991869804
FR,5247,0.0022322938510451196
CN,5237,0.0022280394316606233
KR,5024,0.002137420298770856
CO,4871,0.002072327682188065
BR,4210,0.0017911105608728708
JM,3859,0.0016417804404770565
NL,3789,0.0016119995047855836
CR,3179,0.0013524799223313198
SV,2741,0.0011661363532903893
ES,2737,0.0011644345855365908
CU,2581,0.0010980656431384512
PA,2480,0.0010550960073550401
IT,2239,0.0009525645001886835
GT,2108,0.0008968316062517842
HN,2101,0.0008938535126826369
HK,2009,0.0008547128543452725
IE,1970,0.0008381206187457376
AW,1794,0.0007632428375786057
KY,1728,0.0007351636696409313
AU,1707,0.0007262293889334894
CH,1684,0.0007164442243491483
IS,1591,0.0006768781240733343
AE,1485,0.0006317812785976753
PE,1449,0.0006164653688134893
BE,1429,0.000607956530044497
EC,1426,0.0006066802042291481
TW,1382,0.0005879607589373652
SX,1373,0.0005841317814913186
TC,1340,0.0005700921975224815
HT,1208,0.0005139338616471325
CL,1100,0.0004679861322945743
DK,1032,0.0004390560804800006
BZ,1026,0.00043650342884930294
TT,1012,0.00043054724171100834
AR,1008,0.0004288454739572099
TR,987,0.00041991119324976805
VE,944,0.0004016171898964347
BM,931,0.0003960864446965897
NI,919,0.00039098114143519433
PT,916,0.00038970481561984553
LU,842,0.00035822211217457415
IL,835,0.0003552440186054268
BB,787,0.0003348228055598454
NO,784,0.00033354647974449656
SE,771,0.00032801573454465164
KN,751,0.0003195068957756594
RU,739,0.000314401592514264
AG,713,0.00030334010211457405
NZ,713,0.00030334010211457405
LC,703,0.0002990856827300779
QA,680,0.00028930051814573686
PH,670,0.00028504609876124073
VG,545,0.0002318658564550391
IN,431,0.0001833654754717832
PY,429,0.00018251459159488397
GY,419,0.00017826017221038784
SA,404,0.00017187854313364365
CW,402,0.00017102765925674444
AT,402,0.00017102765925674444
PL,401,0.00017060221731829482
GP,352,0.00014975556233426377
FM,322,0.00013699230418077538
GD,314,0.0001335887686731785
BQ,313,0.00013316332673472887
PF,265,0.00011274211368914745
MQ,253,0.00010763681042775209
FJ,241,0.00010253150716635673
UY,234,9.955341359720945e-05
AI,224,9.529899421271332e-05
GR,214,9.104457482821718e-05
JO,214,9.104457482821718e-05
WS,198,8.423750381302338e-05
BL,195,8.296117799767454e-05
MH,190,8.083396830542647e-05
FI,188,7.998308442852725e-05
SN,187,7.955764249007763e-05
NG,167,7.104880372108537e-05
PW,166,7.062336178263576e-05
ET,157,6.679438433658924e-05
DM,155,6.594350045969001e-05
AZ,145,6.168908107519388e-05
SG,143,6.0838197198294656e-05
ZA,142,6.0412755259845045e-05
BO,133,5.658377781379853e-05
MA,128,5.4456568121550463e-05
GH,127,5.403112618310085e-05
BH,121,5.147847455240317e-05
KI,99,4.211875190651169e-05
KW,87,3.701344864511633e-05
UA,84,3.573712282976749e-05
CV,81,3.4460797014418655e-05
VC,77,3.27590292606202e-05
CZ,77,3.27590292606202e-05
EG,76,3.233358732217059e-05
HU,74,3.148270344527136e-05
LV,74,3.148270344527136e-05
RO,72,3.063181956837214e-05
CK,67,2.850460987612407e-05
SR,60,2.552651630697678e-05
RS,46,1.9570329168682197e-05
AO,44,1.871944529178297e-05
MY,37,1.574135172263568e-05
PK,34,1.4465025907286842e-05
TO,30,1.276325815348839e-05
GF,29,1.2337816215038776e-05
KE,17,7.232512953643421e-06
HR,16,6.807071015193808e-06
UZ,15,6.381629076744195e-06
MT,13,5.530745199844969e-06
PG,11,4.679861322945743e-06
TH,10,4.25441938449613e-06
MO,10,4.25441938449613e-06
LB,10,4.25441938449613e-06
BD,9,3.828977446046517e-06
CY,9,3.828977446046517e-06
VN,9,3.828977446046517e-06
MD,8,3.403535507596904e-06
KH,7,2.978093569147291e-06
TN,7,2.978093569147291e-06
DZ,7,2.978093569147291e-06
BG,7,2.978093569147291e-06
GL,7,2.978093569147291e-06
NE,7,2.978093569147291e-06
GM,6,2.552651630697678e-06
EE,6,2.552651630697678e-06
MR,6,2.552651630697678e-06
ID,5,2.127209692248065e-06
SK,5,2.127209692248065e-06
DJ,4,1.701767753798452e-06
LT,3,1.276325815348839e-06
LR,3,1.276325815348839e-06
KZ,3,1.276325815348839e-06
MN,3,1.276325815348839e-06
NC,3,1.276325815348839e-06
GE,3,1.276325815348839e-06
ME,2,8.50883876899226e-07
KV,2,8.50883876899226e-07
VU,2,8.50883876899226e-07
CM,2,8.50883876899226e-07
BF,2,8.50883876899226e-07
BJ,2,8.50883876899226e-07
UG,2,8.50883876899226e-07
MM,2,8.50883876899226e-07
ZM,1,4.25441938449613e-07
MU,1,4.25441938449613e-07
NP,1,4.25441938449613e-07
MK,1,4.25441938449613e-07
MF,1,4.25441938449613e-07
LK,1,4.25441938449613e-07
RW,1,4.25441938449613e-07
IQ,1,4.25441938449613e-07
GQ,1,4.25441938449613e-07
SI,1,4.25441938449613e-07
SL,1,4.25441938449613e-07
GA,1,4.25441938449613e-07
TJ,1,4.25441938449613e-07
CI,1,4.25441938449613e-07
CD,1,4.25441938449613e-07
AM,1,4.25441938449613e-07
AL,1,4.25441938449613e-07
AF,1,4.25441938449613e-07
